[Epoch 1] started
[Epoch 1] Step 1240/10587 | Loss: 0.0891 | ETA: 03:00:31
[Epoch 1] Step 1250/10587 | Loss: 0.0492 | ETA: 03:00:14
[Epoch 1] Step 1260/10587 | Loss: 0.0718 | ETA: 02:59:58
[Epoch 1] Step 1270/10587 | Loss: 0.0769 | ETA: 02:59:43
[Epoch 1] Step 1280/10587 | Loss: 0.0939 | ETA: 02:59:27
[Epoch 1] Step 1290/10587 | Loss: 0.0763 | ETA: 02:59:09
[Epoch 1] Step 1300/10587 | Loss: 0.0629 | ETA: 02:58:52
[Epoch 1] Step 1310/10587 | Loss: 0.0639 | ETA: 02:58:41
[Epoch 1] Step 1320/10587 | Loss: 0.0918 | ETA: 02:58:19
[Epoch 1] Step 1330/10587 | Loss: 0.0576 | ETA: 02:58:03
[Epoch 1] Step 1340/10587 | Loss: 0.1338 | ETA: 02:57:41
[Epoch 1] Step 1350/10587 | Loss: 0.2677 | ETA: 02:57:25
[Epoch 1] Step 1360/10587 | Loss: 0.0657 | ETA: 02:57:05
[Epoch 1] Step 1370/10587 | Loss: 0.0909 | ETA: 02:56:48
[Epoch 1] Step 1380/10587 | Loss: 0.0997 | ETA: 02:56:32
[Epoch 1] Step 1390/10587 | Loss: 0.1292 | ETA: 02:56:11
[Epoch 1] Step 1400/10587 | Loss: 0.0827 | ETA: 02:55:50
[Epoch 1] Step 1410/10587 | Loss: 0.0987 | ETA: 02:55:37
[Epoch 1] Step 1420/10587 | Loss: 0.0942 | ETA: 02:55:24
[Epoch 1] Step 1430/10587 | Loss: 0.0764 | ETA: 02:55:07
[Epoch 1] Step 1440/10587 | Loss: 0.0606 | ETA: 02:54:49
[Epoch 1] Step 1450/10587 | Loss: 0.1197 | ETA: 02:54:31
[Epoch 1] Step 1460/10587 | Loss: 0.0709 | ETA: 02:54:13
[Epoch 1] Step 1470/10587 | Loss: 0.0827 | ETA: 02:53:57
[Epoch 1] Step 1480/10587 | Loss: 0.0739 | ETA: 02:53:38
